,dTicketInternalKey,BravoNo,Invoice_Date,cBrutoValue,POS_NO,BillNo,dItemInternalKey,Barcode,ItemName,GrossRetailPrice,Quantity,TotalBeforeDisc,DiscValue,NetSales_IncVAT,Total_Net_InvoiceIncVAT,bHasPromotions,OfferNo,dVendorId,DeptNo,CashierNo,CustomerGroup,CustomerNo
6385,30861822,1,01/09/2019 0:00:00,10.0,3,76481,1164,24000104582,Delmonte Sweet Corn 410G                ,5.0,2.0,10.0,0.0,10.0,286.5,0,0,106470.0,105,844,1,300025
6386,30861822,1,01/09/2019 0:00:00,4.0,3,76481,14071,7290013068125,Mashroom 400G Marina                    ,4.0,1.0,4.0,0.0,4.0,286.5,0,0,108180.0,105,844,1,300025
6387,30861822,1,01/09/2019 0:00:00,24.0,3,76481,14089,7290015174480,Tuna Marina W/ Oil 170G                 ,6.0,4.0,24.0,0.0,24.0,286.5,0,0,101340.0,105,844,1,300025
6388,30861822,1,01/09/2019 0:00:00,10.5,3,76481,14690,7290004078263,Baloons Cotton Tips Double              ,10.5,1.0,10.5,0.0,10.5,286.5,0,0,101450.0,109,844,1,300025
6389,30861822,1,01/09/2019 0:00:00,15.0,3,76481,32335,4084500290600,Pan Pro V Smooth& Sleek400Ml            ,15.0,1.0,15.0,2.0,13.0,286.5,-1,15016,501020.0,109,844,1,300025
6390,30861822,1,01/09/2019 0:00:00,24.0,3,76481,44860,7290000069609,Osem Zaatar Snack Cracker 300G          ,12.0,2.0,24.0,11.0,13.0,286.5,-1,15965,102210.0,112,844,1,300025
6391,30861822,1,01/09/2019 0:00:00,8.0,3,76481,47882,7290011774820,Marina Sweet Corn 200G                  ,4.0,2.0,8.0,0.0,8.0,286.5,0,0,108180.0,105,844,1,300025
6392,30861822,1,01/09/2019 0:00:00,20.0,3,76481,51294,4015400439110,Pam Wipes 12*64                         ,10.0,2.0,20.0,10.0,10.0,286.5,-1,15467,501020.0,109,844,1,300025
6393,30861822,1,01/09/2019 0:00:00,40.0,3,76481,52622,3574660625769,Carefree Plus Large Fresh  48Psc        ,20.0,2.0,40.0,16.0,24.0,286.5,-1,8398,102800.0,109,844,1,300025
6394,30861822,1,01/09/2019 0:00:00,22.0,3,76481,54423,4005900011817,Nb Natural Fairness Lotion 400 Ml       ,22.0,1.0,22.0,0.0,22.0,286.5,0,0,501060.0,109,844,1,300025
6395,30861822,1,01/09/2019 0:00:00,48.0,3,76481,71054,8690530204485,Selpak Toilet Paper 32 Roll             ,48.0,1.0,48.0,14.0,34.0,286.5,-1,15043,102600.0,108,844,1,300025
6396,30861822,1,01/09/2019 0:00:00,27.0,3,76481,73363,7295432159539,Reema750*2                              ,27.0,1.0,27.0,4.0,23.0,286.5,-1,13817,101590.0,108,844,1,300025
6397,30861822,1,01/09/2019 0:00:00,16.0,3,76481,73637,882149000994,Americana Sardines Hot 120G             ,4.0,4.0,16.0,6.0,10.0,286.5,-1,13975,501020.0,105,844,1,300025
6398,30861822,1,01/09/2019 0:00:00,38.0,3,76481,74588,5029054043042,Kleenx Toilet Paper 18 Roll Compressed  ,38.0,1.0,38.0,12.0,26.0,286.5,-1,15537,108970.0,108,844,1,300025
6399,30861822,1,01/09/2019 0:00:00,22.0,3,76481,76020,8850006533116,Palmolive 750 Ml  Aroma Sensations Orked,22.0,1.0,22.0,5.0,17.0,286.5,-1,15777,101450.0,109,844,1,300025
6400,30861822,1,01/09/2019 0:00:00,18.0,3,76481,76812,7290011860271,Potato Balls Tobogan 700Gm              ,18.0,1.0,18.0,0.0,18.0,286.5,0,0,102840.0,106,844,1,300025
6401,30861822,1,01/09/2019 0:00:00,5.0,3,76481,77561,5449000278029,Cappy Red Cherry  1.5L                  ,5.0,1.0,5.0,0.0,5.0,286.5,0,0,101730.0,112,844,1,300025
6402,30861822,1,01/09/2019 0:00:00,6.0,3,76481,77566,6111248551620,Mario Sardines In Oil &Chili Pepper 125G,3.0,2.0,6.0,0.0,6.0,286.5,0,0,108180.0,105,844,1,300025
6403,30861822,1,01/09/2019 0:00:00,9.0,3,76481,77591,6223001756934,Potato Farm Frites 750Gm                ,9.0,1.0,9.0,0.0,9.0,286.5,0,0,103520.0,106,844,1,300025
6404,30861823,1,01/09/2019 0:00:00,9.0,5,93893,71,11182700923,King kole light red  493 g              ,9.0,1.0,9.0,0.0,9.0,208.55,0,0,100405.0,105,839,1,410035
6405,30861823,1,01/09/2019 0:00:00,12.0,5,93893,81,11210009387,Tabasco 60Ml Green Pepper               ,12.0,1.0,12.0,0.0,12.0,208.55,0,0,100405.0,105,839,1,410035
6406,30861823,1,01/09/2019 0:00:00,15.0,5,93893,57503,6281063881810,Freshly  Red Kindney Beans 425G         ,7.5,2.0,15.0,0.0,15.0,208.55,0,0,101650.0,105,839,1,410035
6407,30861823,1,01/09/2019 0:00:00,10.65,5,93893,60572,184098,Produce 5 Nis                           ,5.0,2.13,10.65,0.0,10.65,208.55,0,0,103700.0,101,839,1,410035
6408,30861823,1,01/09/2019 0:00:00,30.0,5,93893,60633,184685,Produce Unit 30  Nis                    ,30.0,1.0,30.0,0.0,30.0,208.55,0,0,103700.0,101,839,1,410035
6409,30861823,1,01/09/2019 0:00:00,15.0,5,93893,61392,7290000057552,Yoplait Diet Cheese Cake 150G           ,5.0,3.0,15.0,0.0,15.0,208.55,0,0,103260.0,103,839,1,410035
6410,30861823,1,01/09/2019 0:00:00,41.4,5,93893,62457,199658,Roastery 40 Nis                         ,40.0,1.03,41.4,0.0,41.4,208.55,0,0,100460.0,100,839,1,410035
6411,30861823,1,01/09/2019 0:00:00,14.0,5,93893,63100,3073781010725,Kiri Spreadable Creamy Cheese           ,14.0,1.0,14.0,0.0,14.0,208.55,0,0,101910.0,103,839,1,410035
6412,30861823,1,01/09/2019 0:00:00,15.0,5,93893,71627,6255544352519,Shrak /Taboun                           ,5.0,3.0,15.0,0.0,15.0,208.55,0,0,104140.0,107,839,1,410035
6413,30861823,1,01/09/2019 0:00:00,5.5,5,93893,73948,7290015597760,Solero Diet Blueberry                   ,5.5,1.0,5.5,0.0,5.5,208.55,0,0,100005.0,106,839,1,410035
6414,30861823,1,01/09/2019 0:00:00,12.0,5,93893,74514,6281100177609,Fuchsia Milk  Bread 670Gm               ,12.0,1.0,12.0,0.0,12.0,208.55,0,0,103160.0,107,839,1,410035
6415,30861823,1,01/09/2019 0:00:00,24.0,5,93893,74791,4003840008874,Hitschler Fruit Gum Strawberry Laces    ,6.0,4.0,24.0,0.0,24.0,208.55,0,0,101710.0,112,839,1,410035
6416,30861823,1,01/09/2019 0:00:00,5.0,5,93893,77145,7290107649711,Disnep Pixar 70Gm                       ,5.0,1.0,5.0,0.0,5.0,208.55,0,0,100005.0,106,839,1,410035
6417,30861824,1,01/09/2019 0:00:00,25.0,5,93808,76832,7622100919971,Heets Sienna                            ,25.0,1.0,25.0,3.0,22.0,22.0,-1,15443,501024.0,108,839,1,430077
6418,30861825,1,01/09/2019 0:00:00,178.2,5,93970,50969,92039,Shrimp Larg                             ,90.0,1.98,178.2,0.0,178.2,178.2,0,0,103710.0,102,839,1,350037
6419,30861826,1,01/09/2019 0:00:00,8.0,5,94174,2695,5053990101573,Pringles Original 18*165Gr              ,8.0,1.0,8.0,2.5,5.5,204.5,-1,9469,501020.0,112,822,1,350049
6420,30861826,1,01/09/2019 0:00:00,3.0,5,94174,3964,5000312003602,Cadbury Flake 18G                       ,1.0,3.0,3.0,0.0,3.0,204.5,0,0,106470.0,112,822,1,350049
6421,30861826,1,01/09/2019 0:00:00,14.0,5,94174,4209,5029053503790,Huggies Unscented Wet Wips  72Wip       ,7.0,2.0,14.0,4.0,10.0,204.5,-1,13846,108970.0,109,822,1,350049
6422,30861826,1,01/09/2019 0:00:00,30.0,5,94174,12044,6253501883021,Safi Sunflower Oil 5L                   ,30.0,1.0,30.0,6.0,24.0,204.5,-1,12766,102070.0,105,822,1,350049
6423,30861826,1,01/09/2019 0:00:00,33.0,5,94174,15265,7290005862021,Reema Toilet Paper Reemix 18Rolls       ,33.0,1.0,33.0,5.0,28.0,204.5,-1,14171,101590.0,108,822,1,350049
6424,30861826,1,01/09/2019 0:00:00,10.5,5,94174,19647,7290011257033,Labaneh Dania Plain 400G                ,10.5,1.0,10.5,0.0,10.5,204.5,0,0,101600.0,103,822,1,350049
6425,30861826,1,01/09/2019 0:00:00,6.0,5,94174,19876,9700172511250,White Bread Slices                      ,6.0,1.0,6.0,0.0,6.0,204.5,0,0,104540.0,107,822,1,350049
6426,30861826,1,01/09/2019 0:00:00,7.0,5,94174,22478,6221048407918,Siginal Toothpaste Apples 125Ml         ,7.0,1.0,7.0,1.5,5.5,204.5,-1,8076,101780.0,109,822,1,350049
6427,30861826,1,01/09/2019 0:00:00,7.0,5,94174,23354,6221048407833,Siginal Toothpaste Cavity Fighter 125Ml ,7.0,1.0,7.0,1.5,5.5,204.5,-1,8076,101780.0,109,822,1,350049
6428,30861826,1,01/09/2019 0:00:00,8.0,5,94174,45042,5053990101542,Pringles Hot & Spicy 18*165Gr           ,8.0,1.0,8.0,2.5,5.5,204.5,-1,9469,501020.0,112,822,1,350049
6429,30861826,1,01/09/2019 0:00:00,106.0,5,94174,45590,5029053506524,Huggies Jumboo 10-16K 48Dippers 4+      ,53.0,2.0,106.0,39.0,67.0,204.5,-1,15339,108970.0,109,822,1,350049
6430,30861826,1,01/09/2019 0:00:00,11.0,5,94174,61464,6253503521532,Al Jebrini Fresh Milk 3% 2L Offer       ,11.0,1.0,11.0,1.0,10.0,204.5,-1,14121,105550.0,103,822,1,350049
6431,30861826,1,01/09/2019 0:00:00,24.0,5,94174,67400,7290005861888,Reema Kitchen Towel 6 roll              ,12.0,2.0,24.0,9.0,15.0,204.5,-1,15484,101590.0,108,822,1,350049
6432,30861826,1,01/09/2019 0:00:00,11.0,5,94174,72790,7290015439244,Floor Cleaner Wave 1Ltr Green           ,11.0,1.0,11.0,2.0,9.0,204.5,-1,15804,101510.0,108,822,1,350049
6433,30861827,1,01/09/2019 0:00:00,108.13,5,94007,1748,31003,Roast Beef                              ,55.0,1.96,108.13,0.0,108.13,355.5,0,0,102500.0,102,839,1,301011
6434,30861827,1,01/09/2019 0:00:00,83.55,5,94007,8982,61001,Whole Chicken                           ,15.5,5.39,83.55,0.0,83.55,355.5,0,0,102500.0,102,839,1,301011
6435,30861827,1,01/09/2019 0:00:00,16.0,5,94007,19510,7290001316856,Alquds Mortadella  1K                   ,16.0,1.0,16.0,0.0,16.0,355.5,0,0,501000.0,104,839,1,301011
6436,30861827,1,01/09/2019 0:00:00,12.5,5,94007,51837,6221048311239,Axe Deo For Men Excite 150Ml            ,12.5,1.0,12.5,4.0,8.5,355.5,-1,13717,101780.0,109,839,1,301011
6437,30861827,1,01/09/2019 0:00:00,11.0,5,94007,61464,6253503521532,Al Jebrini Fresh Milk 3% 2L Offer       ,11.0,1.0,11.0,1.0,10.0,355.5,-1,14121,105550.0,103,839,1,301011
6438,30861827,1,01/09/2019 0:00:00,9.0,5,94007,62456,199580,Roastery 36 Nis                         ,36.0,0.25,9.0,0.0,9.0,355.5,0,0,100460.0,100,839,1,301011
6439,30861827,1,01/09/2019 0:00:00,4.0,5,94007,62457,199658,Roastery 40 Nis                         ,40.0,0.1,4.0,0.0,4.0,355.5,0,0,100460.0,100,839,1,301011
